Datetime-local,electricity,irradiance_direct,irradiance_diffuse,temperature,zenith,DNI,GHI
2019-01-01 00:00:00,0.0,0.0,0.0,13.696,90.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,13.797,90.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,13.764,90.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,13.826,90.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,13.944,90.0,0.0,0.0
2019-01-01 05:00:00,0.048,0.04,0.028,14.578,88.93950118028616,40.0,28.740325571612885
2019-01-01 06:00:00,0.114,0.053,0.088,15.397,79.1333901578841,53.0,97.99172730020615
2019-01-01 07:00:00,0.238,0.102,0.176,16.029,68.40265326892725,102.0,213.5443125860149
2019-01-01 08:00:00,0.313,0.108,0.255,16.467,57.27164253517192,108.0,313.390928370798
2019-01-01 09:00:00,0.338,0.08,0.313,16.675,46.038546086534275,80.0,368.5339418430626
2019-01-01 10:00:00,0.434,0.104,0.405,17.021,35.10567060286455,104.0,490.08165169413286
2019-01-01 11:00:00,0.5650000000000001,0.214,0.465,17.531,25.31918089967894,214.0,658.4430385493805
2019-01-01 12:00:00,0.5630000000000001,0.199,0.477,17.756,18.941505422557867,199.0,665.2242420971608
2019-01-01 13:00:00,0.597,0.272,0.451,17.854,19.786222237970037,272.0,706.9417176240536
2019-01-01 14:00:00,0.562,0.269,0.407,17.785,27.176555221815534,269.0,646.303297941945
2019-01-01 15:00:00,0.477,0.22,0.344,17.448,37.31892510151548,220.0,518.9601207782213
2019-01-01 16:00:00,0.441,0.257,0.261,17.049,48.3631599894131,257.0,431.7525718110295
2019-01-01 17:00:00,0.47,0.384,0.168,16.544,59.60565136325408,384.0,362.2842960820497
2019-01-01 18:00:00,0.345,0.307,0.092,15.814,70.68304511202481,307.0,193.55365561936316
2019-01-01 19:00:00,0.097,0.105,0.017,14.833,81.2951518603823,105.0,32.89116852084434
2019-01-01 20:00:00,0.0,0.0,0.0,14.368,90.0,0.0,0.0
2019-01-01 21:00:00,0.0,0.0,0.0,14.204,90.0,0.0,0.0
2019-01-01 22:00:00,0.0,0.0,0.0,14.084,90.0,0.0,0.0
2019-01-01 23:00:00,0.0,0.0,0.0,13.919,90.0,0.0,0.0
2019-01-02 00:00:00,0.0,0.0,0.0,13.682,90.0,0.0,0.0
2019-01-02 01:00:00,0.0,0.0,0.0,13.522,90.0,0.0,0.0
2019-01-02 02:00:00,0.0,0.0,0.0,13.45,90.0,0.0,0.0
2019-01-02 03:00:00,0.0,0.0,0.0,13.241,90.0,0.0,0.0
2019-01-02 04:00:00,0.0,0.0,0.0,13.169,90.0,0.0,0.0
2019-01-02 05:00:00,0.046,0.036,0.028,13.601,89.05874315642477,36.0,28.591382515740243
2019-01-02 06:00:00,0.151,0.079,0.101,14.419,79.26797049774274,79.0,115.71105505871483
2019-01-02 07:00:00,0.287,0.139,0.192,15.108,68.53838791075562,139.0,242.85700988920206
2019-01-02 08:00:00,0.374,0.155,0.279,15.615,57.40764184683063,155.0,362.49205475894905
2019-01-02 09:00:00,0.495,0.221,0.361,16.034,46.174774209530185,221.0,514.033854124334
2019-01-02 10:00:00,0.766,0.713,0.249,16.739,35.241922631522556,713.0,831.3234355829667
2019-01-02 11:00:00,0.846,0.894,0.199,17.283,25.4517753620364,894.0,1006.2349010644466
2019-01-02 12:00:00,0.85,0.904,0.197,17.536,19.048220298150156,904.0,1051.500794454286
2019-01-02 13:00:00,0.844,0.898,0.194,17.628,19.8266569578565,898.0,1038.7693157296449
2019-01-02 14:00:00,0.8280000000000001,0.878,0.188,17.574,27.166043560682873,878.0,969.1452886618921
2019-01-02 15:00:00,0.804,0.852,0.173,17.333,37.28678906147058,852.0,850.8624337091044
2019-01-02 16:00:00,0.737,0.762,0.157,16.909,48.32393421300972,762.0,663.6678229653049
2019-01-02 17:00:00,0.633,0.641,0.126,16.285,59.56668513403916,641.0,450.6890572135331
2019-01-02 18:00:00,0.44,0.433,0.08,15.487,70.64909736430256,433.0,223.47574182337948
2019-01-02 19:00:00,0.177,0.192,0.016,14.428,81.27028143406699,192.0,45.140515577365804
2019-01-02 20:00:00,0.0,0.0,0.0,13.431,90.0,0.0,0.0
2019-01-02 21:00:00,0.0,0.0,0.0,12.976,90.0,0.0,0.0
2019-01-02 22:00:00,0.0,0.0,0.0,12.648,90.0,0.0,0.0
2019-01-02 23:00:00,0.0,0.0,0.0,12.388,90.0,0.0,0.0
2019-01-03 00:00:00,0.0,0.0,0.0,12.194,90.0,0.0,0.0
2019-01-03 01:00:00,0.0,0.0,0.0,12.007,90.0,0.0,0.0
2019-01-03 02:00:00,0.0,0.0,0.0,11.811,90.0,0.0,0.0
2019-01-03 03:00:00,0.0,0.0,0.0,11.621,90.0,0.0,0.0
2019-01-03 04:00:00,0.0,0.001,0.0,11.465,90.0,1.0,6.123233995736766e-17
2019-01-03 05:00:00,0.331,0.341,0.036,12.219,89.18125065667773,341.0,40.872680442362224
2019-01-03 06:00:00,0.599,0.621,0.089,14.046,79.40660113977918,621.0,203.16346246893482
2019-01-03 07:00:00,0.723,0.767,0.128,16.411,68.67782280756684,767.0,406.8902723390246
2019-01-03 08:00:00,0.782,0.844,0.156,19.005,57.54714846062814,844.0,608.8949602712211
2019-01-03 09:00:00,0.8130000000000001,0.888,0.173,20.577,46.314564276178245,888.0,786.3403696170577
2019-01-03 10:00:00,0.8300000000000001,0.914,0.183,21.643,35.382201056696275,914.0,928.1912471095588
2019-01-03 11:00:00,0.836,0.926,0.187,22.353,25.589581258730576,926.0,1022.1696624373309
2019-01-03 12:00:00,0.836,0.927,0.188,22.662,19.162332268613554,927.0,1063.6371284736997
2019-01-03 13:00:00,0.8290000000000001,0.917,0.187,22.752,19.875376697206207,917.0,1049.3782722735946
2019-01-03 14:00:00,0.8130000000000001,0.894,0.182,22.725,27.162539673638662,894.0,977.4052426817782
2019-01-03 15:00:00,0.784,0.854,0.171,22.545,37.26066017280069,854.0,850.6895225912897
2019-01-03 16:00:00,0.732,0.789,0.152,22.145,48.29027504077989,789.0,676.9667312913075
2019-01-03 17:00:00,0.641,0.68,0.121,21.398,59.533193301444,680.0,465.78659352692165
2019-01-03 18:00:00,0.463,0.477,0.077,20.207,70.62073671132137,477.0,235.27801374967748
2019-01-03 19:00:00,0.199,0.221,0.016,18.428,81.25121410722525,221.0,49.614639816537476
2019-01-03 20:00:00,0.0,0.0,0.0,16.986,90.0,0.0,0.0
2019-01-03 21:00:00,0.0,0.0,0.0,16.137,90.0,0.0,0.0
2019-01-03 22:00:00,0.0,0.0,0.0,15.841,90.0,0.0,0.0
2019-01-03 23:00:00,0.0,0.0,0.0,15.99,90.0,0.0,0.0
2019-01-04 00:00:00,0.0,0.0,0.0,16.189,90.0,0.0,0.0
2019-01-04 01:00:00,0.0,0.0,0.0,16.394,90.0,0.0,0.0
2019-01-04 02:00:00,0.0,0.0,0.0,16.557,90.0,0.0,0.0
2019-01-04 03:00:00,0.0,0.0,0.0,16.708,90.0,0.0,0.0
2019-01-04 04:00:00,0.0,0.001,0.0,16.891,90.0,1.0,6.123233995736766e-17
2019-01-04 05:00:00,0.253,0.261,0.036,17.592,89.30678313032023,261.0,39.157740244793835
2019-01-04 06:00:00,0.536,0.552,0.093,19.069,79.54916511700392,552.0,193.12823726961943
2019-01-04 07:00:00,0.678,0.718,0.134,20.812,68.82084013859775,718.0,393.40294084496094
2019-01-04 08:00:00,0.749,0.806,0.163,22.47,57.690046263348556,806.0,593.806342981933
2019-01-04 09:00:00,0.786,0.853,0.183,23.508,46.45779675816801,853.0,770.6220518629547
2019-01-04 10:00:00,0.798,0.8230000000000001,0.237,23.985,35.52638293498066,823.0000000000001,906.7969338747387
2019-01-04 11:00:00,0.804,0.812,0.256,23.719,25.73248930673475,812.0,987.4747493379041
2019-01-04 12:00:00,0.78,0.728,0.294,22.857,19.283738881110537,728.0,981.1553538904107
2019-01-04 13:00:00,0.765,0.6890000000000001,0.3,21.354,19.93240194658665,689.0,947.7257891629692
2019-01-04 14:00:00,0.74,0.649,0.287,19.367,27.16613235314209,649.0,864.4064796803324
2019-01-04 15:00:00,0.724,0.662,0.242,17.751,37.24065113362714,662.0,769.0187010344538
2019-01-04 16:00:00,0.646,0.578,0.207,16.535,48.26228834065577,578.0,591.7871092303277
2019-01-04 17:00:00,0.423,0.325,0.167,15.386,59.50526807302241,325.0,331.92421989329205
2019-01-04 18:00:00,0.233,0.18,0.089,14.404,70.59803828516213,180.0,148.79481669935626
2019-01-04 19:00:00,0.068,0.074,0.016,13.838,81.23801562042784,74.0,27.27242853637528
2019-01-04 20:00:00,0.0,0.0,0.0,13.681,90.0,0.0,0.0
2019-01-04 21:00:00,0.0,0.0,0.0,13.755,90.0,0.0,0.0
2019-01-04 22:00:00,0.0,0.0,0.0,13.73,90.0,0.0,0.0
2019-01-04 23:00:00,0.0,0.0,0.0,13.728,90.0,0.0,0.0
2019-01-05 00:00:00,0.0,0.0,0.0,13.577,90.0,0.0,0.0
2019-01-05 01:00:00,0.0,0.0,0.0,13.471,90.0,0.0,0.0
2019-01-05 02:00:00,0.0,0.0,0.0,13.477,90.0,0.0,0.0
2019-01-05 03:00:00,0.0,0.0,0.0,13.48,90.0,0.0,0.0
2019-01-05 04:00:00,0.0,0.0,0.0,13.428,90.0,0.0,0.0
2019-01-05 05:00:00,0.017,0.013,0.018,13.493,89.43508657969247,13.0,18.128172712578554
2019-01-05 06:00:00,0.063,0.019,0.065,13.828,79.69554290110646,19.0,68.39869628849804
2019-01-05 07:00:00,0.184,0.057,0.159,14.178,68.967327205727,57.0,179.4573150176064
2019-01-05 08:00:00,0.326,0.113,0.262,14.669,57.83621231158683,113.0,322.1545731410089
2019-01-05 09:00:00,0.456,0.181,0.35,15.232,46.60435895737814,181.0,474.35283405595095
2019-01-05 10:00:00,0.485,0.149,0.419,15.537,35.674355568254406,149.0,540.0393493905386
2019-01-05 11:00:00,0.601,0.263,0.458,15.981,25.880376562643875,263.0,694.623027265586
2019-01-05 12:00:00,0.616,0.274,0.468,16.206,19.412317192236017,274.0,726.4234369180251
2019-01-05 13:00:00,0.61,0.288,0.447,16.298,19.997753196565327,288.0,717.6353372394765
2019-01-05 14:00:00,0.588,0.305,0.4,16.31,27.17693771240905,305.0,671.3280881530095
2019-01-05 15:00:00,0.616,0.434,0.309,16.364,37.22687464207123,434.0,654.5708692882911
2019-01-05 16:00:00,0.614,0.516,0.224,16.333,48.24007656547488,516.0,567.6616092388165
2019-01-05 17:00:00,0.531,0.471,0.158,16.049,59.482994826139,471.0,397.17100646466184
2019-01-05 18:00:00,0.336,0.297,0.091,15.511,70.58108234054758,297.0,189.74434519161713
2019-01-05 19:00:00,0.044,0.05,0.014,14.634,81.23074659160366,50.0,21.622775100971154
2019-01-05 20:00:00,0.0,0.0,0.0,14.214,90.0,0.0,0.0
2019-01-05 21:00:00,0.0,0.0,0.0,14.092,90.0,0.0,0.0
2019-01-05 22:00:00,0.0,0.0,0.0,13.939,90.0,0.0,0.0
2019-01-05 23:00:00,0.0,0.0,0.0,13.8,90.0,0.0,0.0
2019-01-06 00:00:00,0.0,0.0,0.0,13.725,90.0,0.0,0.0
2019-01-06 01:00:00,0.0,0.0,0.0,13.623,90.0,0.0,0.0
2019-01-06 02:00:00,0.0,0.0,0.0,13.427,90.0,0.0,0.0
2019-01-06 03:00:00,0.0,0.0,0.0,13.227,90.0,0.0,0.0
2019-01-06 04:00:00,0.0,0.0,0.0,13.049,90.0,0.0,0.0
2019-01-06 05:00:00,0.07,0.061,0.031,13.329,89.5658936669215,61.0,31.462167251987864
2019-01-06 06:00:00,0.172,0.1,0.103,14.239,79.84561667132364,100.0,120.63011060116723
2019-01-06 07:00:00,0.266,0.121,0.187,14.832,69.11716277309687,121.0,230.1314355771192
2019-01-06 08:00:00,0.221,0.04,0.217,15.018,57.98553732231623,40.0,238.20533251156124
2019-01-06 09:00:00,0.219,0.022,0.234,15.044,46.75414159078193,22.0,249.07286745098546
2019-01-06 10:00:00,0.219,0.014,0.241,15.1,35.82601308858537,14.0,252.35117418969554
2019-01-06 11:00:00,0.261,0.017,0.285,15.277,26.033113252863693,17.0,300.27518928294074
2019-01-06 12:00:00,0.377,0.046,0.391,15.669,19.547957918963306,46.0,434.3486408081259
2019-01-06 13:00:00,0.484,0.122,0.447,16.207,20.071437277331412,122.0,561.590385438439
2019-01-06 14:00:00,0.492,0.169,0.411,16.526,27.195044543898753,169.0,561.3180477622556
2019-01-06 15:00:00,0.44,0.172,0.343,16.406,37.219433150970495,172.0,479.96786712019014
2019-01-06 16:00:00,0.426,0.235,0.261,16.153,48.2237421680748,235.0,417.56252330618145
2019-01-06 17:00:00,0.329,0.205,0.175,15.649,59.46646576834756,205.0,279.148727401477
2019-01-06 18:00:00,0.167,0.111,0.087,14.863,70.5699388869167,111.0,123.92481183046336
2019-01-06 19:00:00,0.047,0.052,0.015,13.942,81.22946507736064,52.0,22.928835572616087
2019-01-06 20:00:00,0.0,0.0,0.0,13.406,90.0,0.0,0.0
2019-01-06 21:00:00,0.0,0.0,0.0,13.006,90.0,0.0,0.0
2019-01-06 22:00:00,0.0,0.0,0.0,12.619,90.0,0.0,0.0
2019-01-06 23:00:00,0.0,0.0,0.0,12.349,90.0,0.0,0.0
2019-01-07 00:00:00,0.0,0.0,0.0,12.155,90.0,0.0,0.0
2019-01-07 01:00:00,0.0,0.0,0.0,11.979,90.0,0.0,0.0
2019-01-07 02:00:00,0.0,0.0,0.0,11.843,90.0,0.0,0.0
2019-01-07 03:00:00,0.0,0.0,0.0,11.767,90.0,0.0,0.0
2019-01-07 04:00:00,0.0,0.003,0.0,11.717,90.0,3.0,1.8369701987210297e-16
2019-01-07 05:00:00,0.128,0.119,0.035,12.336,89.69892486117944,119.0,35.62531266598755
2019-01-07 06:00:00,0.31,0.243,0.113,13.908,79.9992677531186,243.0,155.1995655579692
2019-01-07 07:00:00,0.609,0.557,0.171,14.973,69.27023243503874,557.0,368.1561647823579
2019-01-07 08:00:00,0.716,0.667,0.215,15.742,58.13790859741546,667.0,567.0936349038441
2019-01-07 09:00:00,0.782,0.741,0.244,16.472,46.9070285451635,741.0,750.2394911754659
2019-01-07 10:00:00,0.8140000000000001,0.811,0.228,17.04,35.981239382757664,811.0,884.2688332916318
2019-01-07 11:00:00,0.8260000000000001,0.8250000000000001,0.236,17.469,26.19060375474585,825.0000000000001,976.2978790994507
2019-01-07 12:00:00,0.8280000000000001,0.8270000000000001,0.238,17.675,19.69053811788733,827.0000000000001,1016.6421675827089
2019-01-07 13:00:00,0.8210000000000001,0.8220000000000001,0.232,17.662,20.15344735869577,822.0000000000001,1003.6716251942639
2019-01-07 14:00:00,0.806,0.811,0.218,17.481,27.220534809881237,811.0,939.1837712185969
2019-01-07 15:00:00,0.76,0.749,0.206,17.159,37.21843252825709,749.0,802.4551938157274
2019-01-07 16:00:00,0.714,0.713,0.171,16.711,48.21337394091472,713.0,646.1135702903425
2019-01-07 17:00:00,0.601,0.587,0.134,15.938,59.45576286191816,587.0,432.31543187661225
2019-01-07 18:00:00,0.37,0.344,0.083,14.784,70.56468134880308,344.0,197.4634187676338
2019-01-07 19:00:00,0.09,0.1,0.015,13.541,81.23422486543849,100.0,30.239550405613663
2019-01-07 20:00:00,0.0,0.0,0.0,12.82,90.0,0.0,0.0
2019-01-07 21:00:00,0.0,0.0,0.0,12.312,90.0,0.0,0.0
2019-01-07 22:00:00,0.0,0.0,0.0,12.064,90.0,0.0,0.0
2019-01-07 23:00:00,0.0,0.0,0.0,11.988,90.0,0.0,0.0
2019-01-08 00:00:00,0.0,0.0,0.0,11.976,90.0,0.0,0.0
2019-01-08 01:00:00,0.0,0.0,0.0,11.872,90.0,0.0,0.0
2019-01-08 02:00:00,0.0,0.0,0.0,11.965,90.0,0.0,0.0
2019-01-08 03:00:00,0.0,0.0,0.0,12.06,90.0,0.0,0.0
2019-01-08 04:00:00,0.0,0.0,0.0,11.748,90.0,0.0,0.0
2019-01-08 05:00:00,0.065,0.059,0.027,11.794,89.83388959928209,59.0,27.17105099182571
2019-01-08 06:00:00,0.214,0.147,0.101,13.038,80.15637576440723,147.0,126.1310797326605
2019-01-08 07:00:00,0.459,0.355,0.178,14.337,69.426421785884,355.0,302.75053218421766
2019-01-08 08:00:00,0.558,0.418,0.243,15.194,58.29321002366862,418.0,462.6892944794909
2019-01-08 09:00:00,0.635,0.473,0.294,15.846,47.06291736768528,473.0,616.2051585606869
2019-01-08 10:00:00,0.761,0.644,0.31,16.475,36.13993541302832,644.0,830.0808857785394
2019-01-08 11:00:00,0.752,0.583,0.357,16.865,26.352718294696096,583.0,879.413694194541
2019-01-08 12:00:00,0.655,0.352,0.448,16.86,19.83993484560301,352.0,779.106843566809
2019-01-08 13:00:00,0.506,0.145,0.452,16.293,20.243769780280005,145.0,588.0432001279332
2019-01-08 14:00:00,0.367,0.063,0.361,15.652,27.253504133004895,63.0,417.00631562273276
2019-01-08 15:00:00,0.363,0.096,0.323,15.4,37.22397522676855,96.0,399.4425781591559
2019-01-08 16:00:00,0.304,0.104,0.247,15.125,48.20907092173761,104.0,316.30710176386197
2019-01-08 17:00:00,0.142,0.038,0.133,14.455,59.45096465402622,38.0,152.3144721754666
2019-01-08 18:00:00,0.028,0.007,0.038,13.687,70.56536949036196,7.0,40.329118193037125
2019-01-08 19:00:00,0.0,0.001,0.003,13.308,81.24507376716141,1.0,3.152208363944797
2019-01-08 20:00:00,0.0,0.0,0.0,13.075,90.0,0.0,0.0
2019-01-08 21:00:00,0.0,0.0,0.0,12.691,90.0,0.0,0.0
2019-01-08 22:00:00,0.0,0.0,0.0,12.292,90.0,0.0,0.0
2019-01-08 23:00:00,0.0,0.0,0.0,11.883,90.0,0.0,0.0
2019-01-09 00:00:00,0.0,0.0,0.0,11.705,90.0,0.0,0.0
2019-01-09 01:00:00,0.0,0.0,0.0,11.45,90.0,0.0,0.0
2019-01-09 02:00:00,0.0,0.0,0.0,11.143,90.0,0.0,0.0
2019-01-09 03:00:00,0.0,0.0,0.0,11.015,90.0,0.0,0.0
2019-01-09 04:00:00,0.0,0.0,0.0,11.076,90.0,0.0,0.0
2019-01-09 05:00:00,0.078,0.07,0.03,11.5,89.97048820334456,70.0,30.036055459792884
2019-01-09 06:00:00,0.253,0.181,0.109,12.384,80.3168237382,181.0,139.44418924256124
2019-01-09 07:00:00,0.637,0.593,0.165,13.161,69.58561641996407,593.0,371.8427481037263
2019-01-09 08:00:00,0.746,0.709,0.206,13.814,58.451335733143594,709.0,576.9648003746245
2019-01-09 09:00:00,0.809,0.784,0.231,14.443,47.22170560550974,784.0,763.4640220933428
2019-01-09 10:00:00,0.838,0.8190000000000001,0.245,14.95,36.30199189637062,819.0000000000001,905.0384065739662
2019-01-09 11:00:00,0.85,0.8310000000000001,0.255,15.281,26.519354419876898,831.0000000000001,998.5651596831644
2019-01-09 12:00:00,0.852,0.8320000000000001,0.257,15.471,19.99603881908365,832.0000000000001,1038.8439319182464
2019-01-09 13:00:00,0.8310000000000001,0.792,0.264,15.406,20.34238405151666,792.0,1006.6045720435758
2019-01-09 14:00:00,0.804,0.756,0.254,15.193,27.29402764535058,756.0,925.8307673647764
2019-01-09 15:00:00,0.777,0.746,0.222,14.893,37.23614662386952,746.0,815.9266552981751
2019-01-09 16:00:00,0.67,0.605,0.203,14.375,48.21091507281351,605.0,606.1662174259995
2019-01-09 17:00:00,0.522,0.453,0.156,13.87,59.452146276752636,453.0,386.2407937577223
2019-01-09 18:00:00,0.176,0.121,0.085,13.269,70.57206819839045,121.0,125.24713074365741
2019-01-09 19:00:00,0.016,0.02,0.01,12.896,81.26205703253265,20.0,13.038307941041435
2019-01-09 20:00:00,0.0,0.0,0.0,12.894,90.0,0.0,0.0
2019-01-09 21:00:00,0.0,0.0,0.0,12.96,90.0,0.0,0.0
2019-01-09 22:00:00,0.0,0.0,0.0,12.855,90.0,0.0,0.0
2019-01-09 23:00:00,0.0,0.0,0.0,12.767,90.0,0.0,0.0
2019-01-10 00:00:00,0.0,0.0,0.0,12.589,90.0,0.0,0.0
2019-01-10 01:00:00,0.0,0.0,0.0,12.659,90.0,0.0,0.0
2019-01-10 02:00:00,0.0,0.0,0.0,12.617,90.0,0.0,0.0
2019-01-10 03:00:00,0.0,0.0,0.0,12.595,90.0,0.0,0.0
2019-01-10 04:00:00,0.0,0.0,0.0,12.564,90.0,0.0,0.0
2019-01-10 05:00:00,0.004,0.004,0.01,12.693,90.0,4.0,10.0
2019-01-10 06:00:00,0.028,0.006,0.039,13.083,80.48049299996008,6.0,39.9923003306605
2019-01-10 07:00:00,0.064,0.007,0.078,13.452,69.74770705425223,7.0,80.42308221892989
2019-01-10 08:00:00,0.185,0.027,0.19,13.993,58.612179857908224,27.0,204.06236068225186
2019-01-10 09:00:00,0.238,0.028,0.248,14.413,47.38328739070473,28.0,266.958538286433
2019-01-10 10:00:00,0.294,0.033,0.307,14.809,36.46731662523079,33.0,333.5384691900975
2019-01-10 11:00:00,0.376,0.053,0.382,15.155,26.690409677450702,53.0,429.352668954227
2019-01-10 12:00:00,0.422,0.071,0.419,15.457,20.15872709492419,71.0,485.6506475040787
2019-01-10 13:00:00,0.446,0.096,0.424,15.678,20.449256021459846,96.0,513.9502703535253
2019-01-10 14:00:00,0.486,0.169,0.402,15.859,27.34215998843166,169.0,552.1192361310792
2019-01-10 15:00:00,0.528,0.297,0.328,15.918,37.25504234220836,297.0,564.3967728896358
2019-01-10 16:00:00,0.453,0.277,0.252,15.669,48.218988356412474,277.0,436.56104913603866
2019-01-10 17:00:00,0.325,0.206,0.17,15.209,59.45937944708368,206.0,274.6787141939835
2019-01-10 18:00:00,0.192,0.14,0.086,14.521,70.58483211440192,140.0,132.5375146804316
2019-01-10 19:00:00,0.027,0.032,0.012,13.628,81.28521393513992,32.0,16.84850916453635
2019-01-10 20:00:00,0.0,0.0,0.0,12.952,90.0,0.0,0.0
2019-01-10 21:00:00,0.0,0.0,0.0,12.564,90.0,0.0,0.0
2019-01-10 22:00:00,0.0,0.0,0.0,12.181,90.0,0.0,0.0
2019-01-10 23:00:00,0.0,0.0,0.0,11.81,90.0,0.0,0.0
2019-01-11 00:00:00,0.0,0.0,0.0,11.447,90.0,0.0,0.0
2019-01-11 01:00:00,0.0,0.0,0.0,11.265,90.0,0.0,0.0
2019-01-11 02:00:00,0.0,0.0,0.0,11.033,90.0,0.0,0.0
2019-01-11 03:00:00,0.0,0.0,0.0,10.627,90.0,0.0,0.0
2019-01-11 04:00:00,0.0,0.0,0.0,10.067,90.0,0.0,0.0
2019-01-11 05:00:00,0.304,0.308,0.035,9.982,90.0,308.0,35.00000000000002
2019-01-11 06:00:00,0.582,0.582,0.097,11.866,80.64726658269792,582.0,191.5819995158116
2019-01-11 07:00:00,0.6970000000000001,0.6960000000000001,0.15,14.207,69.91257928307988,696.0000000000001,389.04364174111174
2019-01-11 08:00:00,0.783,0.801,0.183,16.019,58.77563653003038,801.0,598.2309369927322
2019-01-11 09:00:00,0.836,0.878,0.2,17.509,47.547563685527294,878.0,792.6306219604166
2019-01-11 10:00:00,0.858,0.94,0.184,18.757,36.63581397696042,940.0,938.2979569127932
2019-01-11 11:00:00,0.86,0.944,0.189,19.704,26.865774784390773,944.0,1031.1118418278763
2019-01-11 12:00:00,0.854,0.935,0.193,20.349,20.327869899530384,935.0,1069.7682623648443
2019-01-11 13:00:00,0.841,0.915,0.194,20.7,20.564358369352902,915.0,1050.6945736508624
2019-01-11 14:00:00,0.8180000000000001,0.88,0.191,20.826,27.397976294329,880.0,972.2918423107765
2019-01-11 15:00:00,0.78,0.8270000000000001,0.181,20.725,37.280737513865944,827.0000000000001,839.0250158209674
2019-01-11 16:00:00,0.717,0.749,0.16,20.392,48.23337273480452,749.0,658.9075100053233
2019-01-11 17:00:00,0.607,0.618,0.127,19.841,59.47272563672189,618.0,440.91215110089814
2019-01-11 18:00:00,0.386,0.377,0.079,18.978,70.60371075726783,377.0,204.20171637528026
2019-01-11 19:00:00,0.119,0.134,0.013,17.51,81.3145786259291,134.0,33.23524593250967
2019-01-11 20:00:00,0.0,0.0,0.0,16.318,90.0,0.0,0.0
2019-01-11 21:00:00,0.0,0.0,0.0,15.81,90.0,0.0,0.0
2019-01-11 22:00:00,0.0,0.0,0.0,15.524,90.0,0.0,0.0
2019-01-11 23:00:00,0.0,0.0,0.0,15.46,90.0,0.0,0.0
2019-01-12 00:00:00,0.0,0.0,0.0,15.299,90.0,0.0,0.0
2019-01-12 01:00:00,0.0,0.0,0.0,15.41,90.0,0.0,0.0
2019-01-12 02:00:00,0.0,0.0,0.0,15.494,90.0,0.0,0.0
2019-01-12 03:00:00,0.0,0.0,0.0,15.167,90.0,0.0,0.0
2019-01-12 04:00:00,0.0,0.0,0.0,14.878,90.0,0.0,0.0
2019-01-12 05:00:00,0.076,0.076,0.023,15.164,90.0,76.0,23.000000000000004
2019-01-12 06:00:00,0.131,0.074,0.086,15.994,80.817027519424,74.0,97.80949847901049
2019-01-12 07:00:00,0.439,0.337,0.175,16.086,70.08012894606216,337.0,289.81779935250086
2019-01-12 08:00:00,0.609,0.508,0.224,15.897,58.941603296672525,508.0,486.083013958659
2019-01-12 09:00:00,0.766,0.736,0.221,16.104,47.714438867329044,736.0,716.2000102137196
2019-01-12 10:00:00,0.862,0.936,0.18,16.645,36.807384913816556,936.0,929.4122895578171
2019-01-12 11:00:00,0.866,0.937,0.186,16.962,27.045354118048756,937.0,1020.5361226904251
2019-01-12 12:00:00,0.861,0.926,0.19,17.092,20.50335794987552,926.0,1057.3394398798514
2019-01-12 13:00:00,0.852,0.913,0.188,17.12,20.687629623493294,913.0,1042.130057262354
2019-01-12 14:00:00,0.8320000000000001,0.884,0.184,17.052,27.46151754417763,884.0,968.3915558103394
2019-01-12 15:00:00,0.794,0.8310000000000001,0.175,16.816,37.313310686017736,831.0000000000001,835.9214562615837
2019-01-12 16:00:00,0.733,0.757,0.154,16.483,48.25413309478677,757.0,658.0316798684594
2019-01-12 17:00:00,0.626,0.634,0.122,16.003,59.492249732464366,634.0,443.8532122426761
2019-01-12 18:00:00,0.407,0.396,0.076,15.275,70.62875193831239,396.0,207.34835528432325
2019-01-12 19:00:00,0.119,0.133,0.013,14.129,81.35018098697779,133.0,33.00253715770707
2019-01-12 20:00:00,0.0,0.0,0.0,13.153,90.0,0.0,0.0
2019-01-12 21:00:00,0.0,0.0,0.0,12.688,90.0,0.0,0.0
2019-01-12 22:00:00,0.0,0.0,0.0,12.367,90.0,0.0,0.0
2019-01-12 23:00:00,0.0,0.0,0.0,12.121,90.0,0.0,0.0
2019-01-13 00:00:00,0.0,0.0,0.0,11.878,90.0,0.0,0.0
2019-01-13 01:00:00,0.0,0.0,0.0,11.543,90.0,0.0,0.0
2019-01-13 02:00:00,0.0,0.0,0.0,11.135,90.0,0.0,0.0
2019-01-13 03:00:00,0.0,0.0,0.0,10.78,90.0,0.0,0.0
2019-01-13 04:00:00,0.0,0.0,0.0,10.595,90.0,0.0,0.0
2019-01-13 05:00:00,0.202,0.207,0.025,11.504,90.0,207.0,25.000000000000014
2019-01-13 06:00:00,0.423,0.389,0.097,13.181,80.98965884314879,389.0,157.92235104785013
2019-01-13 07:00:00,0.622,0.6000000000000001,0.147,15.445,70.25024334507779,600.0000000000001,349.7476323978497
2019-01-13 08:00:00,0.768,0.806,0.165,17.672,59.10997770499709,806.0,578.7938049737745
2019-01-13 09:00:00,0.8280000000000001,0.903,0.173,19.134,47.88382072855619,903.0,778.5844096053394
2019-01-13 10:00:00,0.843,0.931,0.178,20.331,36.98194747352916,931.0,921.7061568238544
